Package,Declaring class,Method,Params,CC
org.apache.commons.cli,Builder,numberOfArgs,"(int argCount)",1
org.apache.commons.cli,Builder,option,"(String option)",1
org.apache.commons.cli,Builder,optionalArg,"(boolean optionalArg)",1
org.apache.commons.cli,Builder,required,"()",1
org.apache.commons.cli,Builder,required,"(boolean required)",1
org.apache.commons.cli,Builder,since,"(String since)",1
org.apache.commons.cli,Builder,type,"(Class<?> type)",1
org.apache.commons.cli,Builder,valueSeparator,"()",1
org.apache.commons.cli,Builder,valueSeparator,"(char valueSeparator)",1
org.apache.commons.cli,OptionBuilder,create,"()",1
org.apache.commons.cli,OptionBuilder,create,"(char opt)",1
org.apache.commons.cli,OptionBuilder,hasArg,"()",1
org.apache.commons.cli,OptionBuilder,hasArg,"(boolean hasArg)",1
org.apache.commons.cli,OptionBuilder,hasArgs,"()",1
org.apache.commons.cli,OptionBuilder,hasArgs,"(int num)",1
org.apache.commons.cli,OptionBuilder,hasOptionalArg,"()",1
org.apache.commons.cli,OptionBuilder,hasOptionalArgs,"()",1
org.apache.commons.cli,OptionBuilder,hasOptionalArgs,"(int numArgs)",1
org.apache.commons.cli,OptionBuilder,isRequired,"()",1
org.apache.commons.cli,OptionBuilder,isRequired,"(boolean newRequired)",1
org.apache.commons.cli,OptionBuilder,reset,"()",1
org.apache.commons.cli,OptionBuilder,withArgName,"(String name)",1
org.apache.commons.cli,OptionBuilder,withDescription,"(String newDescription)",1
org.apache.commons.cli,OptionBuilder,withLongOpt,"(String newLongopt)",1
org.apache.commons.cli,OptionBuilder,withType,"(Class<?> newType)",1
org.apache.commons.cli,OptionBuilder,withType,"(Object newType)",1
org.apache.commons.cli,OptionBuilder,withValueSeparator,"()",1
org.apache.commons.cli,OptionBuilder,withValueSeparator,"(char sep)",1
org.apache.commons.cli,OptionGroup,addOption,"(Option option)",1
org.apache.commons.cli,OptionGroup,getNames,"()",1
org.apache.commons.cli,OptionGroup,getOptions,"()",1
org.apache.commons.cli,OptionGroup,getSelected,"()",1
org.apache.commons.cli,OptionGroup,isRequired,"()",1
org.apache.commons.cli,OptionGroup,isSelected,"()",1
org.apache.commons.cli,OptionGroup,setRequired,"(boolean required)",1
org.apache.commons.cli,OptionGroup,setSelected,"(Option option)",1
org.apache.commons.cli,OptionValidator,isValidChar,"(char c)",1
org.apache.commons.cli,OptionValidator,isValidOpt,"(char c)",1
org.apache.commons.cli,OptionValidator,validate,"(String option)",1
org.apache.commons.cli,Options,addOption,"(Option opt)",1
